 First Stage Estimation Results 	lURG 	lMCO_HP 	lMCO_HC 	lSSR 	lPSY 	lSEANCES 	lUSLD 	lURG_PNL 	lMCO_HP_PNL 	lMCO_HC_PNL 	lSSR_PNL 	lPSY_PNL 	lSEANCES_PNL 	lUSLD_PNL 	lURG_PL 	lMCO_HP_PL 	lMCO_HC_PL 	lSSR_PL 	lPSY_PL 	lSEANCES_PL 	lUSLD_PL 	lURG_CHU 	lMCO_HP_CHU 	lMCO_HC_CHU 	lSSR_CHU 	lPSY_CHU 	lSEANCES_CHU 	lUSLD_CHU 	lduree_MCO
lMCO_HP_2019_PL 	-0.0075 	-0.0834 	-0.0185 	-0.0256 	-0.0005 	0.0013 	-0.0105 	-0.0027 	-0.0009 	-0.0036 	-0.0022 	0.0041 	-0.0073 	-0.0002 	0.0059 	0.8623 	0.0101 	-0.0065 	-0.0055 	0.0409 	-0.0097 	-0.0010 	-0.0048 	-0.0025 	-0.0058 	0.0008 	-0.0026 	-1.237e-06 	-0.0082
	(-1.1805) 	(-1.8817) 	(-0.8081) 	(-1.7810) 	(-0.0989) 	(0.0900) 	(-1.9563) 	(-0.5775) 	(-0.3210) 	(-1.1712) 	(-1.2479) 	(1.7189) 	(-1.4659) 	(-0.1225) 	(0.7207) 	(20.542) 	(0.7553) 	(-0.3767) 	(-1.4924) 	(2.8595) 	(-1.1386) 	(-0.5655) 	(-1.3793) 	(-0.9738) 	(-1.6444) 	(0.4831) 	(-1.0000) 	(-0.0007) 	(-0.7247)
lSSR_2019_PL 	0.0021 	-0.0043 	-0.0002 	0.0576 	0.0018 	0.0046 	-0.0006 	-0.0026 	0.0010 	0.0007 	0.0022 	0.0058 	-0.0067 	0.0006 	0.0011 	-0.0178 	-0.0048 	0.9594 	-0.0106 	0.0156 	0.0007 	-0.0003 	0.0006 	0.0001 	0.0048 	0.0040 	-0.0025 	0.0003 	-0.0009
	(0.4879) 	(-0.2849) 	(-0.0138) 	(7.7758) 	(0.2702) 	(0.3899) 	(-0.1348) 	(-0.7899) 	(0.8769) 	(0.7238) 	(1.6222) 	(1.9081) 	(-1.8005) 	(0.9796) 	(0.1192) 	(-1.2832) 	(-0.5986) 	(150.71) 	(-1.6556) 	(1.2058) 	(0.6438) 	(-0.3278) 	(0.4524) 	(0.2124) 	(2.1056) 	(1.7645) 	(-1.5119) 	(0.4237) 	(-0.2370)
lPSY_2019_PL 	-0.0071 	-0.0177 	0.0057 	-0.0137 	-0.0147 	0.0034 	0.0015 	-0.0031 	0.0019 	0.0018 	0.0004 	-0.0148 	-0.0002 	0.0004 	-0.0005 	-0.0083 	-0.0010 	-0.0216 	0.9897 	0.0176 	0.0004 	-0.0008 	0.0014 	0.0013 	-0.0039 	-0.0095 	-0.0016 	-8.875e-05 	0.0017
	(-2.1506) 	(-1.4392) 	(0.7275) 	(-2.5073) 	(-1.3053) 	(0.3813) 	(0.5185) 	(-1.4087) 	(1.9314) 	(1.6612) 	(0.4786) 	(-2.1394) 	(-0.0410) 	(0.7382) 	(-0.0881) 	(-0.7864) 	(-0.1924) 	(-3.7620) 	(79.605) 	(1.7730) 	(0.7390) 	(-0.8878) 	(0.9279) 	(0.9266) 	(-1.6511) 	(-1.9016) 	(-1.0435) 	(-0.1359) 	(0.6206)
lSEANCES_2019_PL 	-0.0832 	-0.0134 	-0.0100 	-0.0247 	0.0050 	-0.0311 	0.0065 	-0.0102 	0.0012 	-0.0008 	0.0010 	-0.0019 	0.0002 	-0.0005 	-0.0170 	0.0193 	0.0049 	-0.0183 	-0.0010 	0.8811 	-0.0014 	-0.0032 	-0.0014 	-0.0008 	-0.0033 	-0.0017 	0.0010 	-0.0013 	-0.0055
	(-10.017) 	(-0.7380) 	(-0.7591) 	(-2.6317) 	(0.6429) 	(-1.5973) 	(1.4680) 	(-1.5150) 	(0.6411) 	(-0.8850) 	(0.5906) 	(-0.8129) 	(0.0450) 	(-0.6002) 	(-1.6377) 	(1.5362) 	(0.8232) 	(-2.0822) 	(-0.7599) 	(41.558) 	(-1.1321) 	(-0.9118) 	(-0.9962) 	(-1.1056) 	(-1.5667) 	(-1.0654) 	(0.3821) 	(-1.1525) 	(-1.1519)
lUSLD_2019_PL 	0.0149 	0.0176 	0.0114 	-0.0106 	0.0273 	0.0278 	-0.0349 	-0.0019 	-0.0019 	-0.0004 	0.0003 	0.0063 	-0.0046 	-0.0057 	0.0018 	0.0375 	0.0093 	-0.0293 	-0.0131 	0.0262 	0.9545 	-0.0005 	-0.0009 	-0.0013 	-0.0001 	0.0022 	-0.0004 	-0.0096 	-0.0035
	(2.1442) 	(0.2653) 	(0.9431) 	(-0.5779) 	(1.8681) 	(1.8898) 	(-0.8540) 	(-0.4905) 	(-0.4086) 	(-0.2709) 	(0.2374) 	(1.3393) 	(-0.9001) 	(-1.1386) 	(0.2520) 	(0.5379) 	(0.9503) 	(-2.1053) 	(-1.2701) 	(1.5571) 	(33.367) 	(-0.3495) 	(-0.3919) 	(-0.9516) 	(-0.0516) 	(0.7637) 	(-0.1685) 	(-1.2698) 	(-0.3378)
lURG_2019_CHU 	0.0948 	0.0502 	-0.0256 	-0.0175 	-9.721e-05 	0.0364 	0.0048 	0.0208 	0.0022 	-2.198e-05 	-0.0037 	-0.0016 	0.0121 	0.0004 	0.0163 	0.0010 	0.0002 	-0.0005 	-0.0006 	0.0138 	-0.0005 	0.9705 	0.0659 	0.0249 	-0.0141 	0.0095 	0.0348 	0.0171 	-0.0025
	(7.7052) 	(1.4081) 	(-1.3358) 	(-1.4336) 	(-0.0094) 	(1.7332) 	(0.6372) 	(1.6761) 	(0.9348) 	(-0.0254) 	(-1.0689) 	(-0.4365) 	(1.9287) 	(0.3202) 	(1.4719) 	(0.2816) 	(0.1599) 	(-0.1201) 	(-0.4061) 	(1.0869) 	(-0.9367) 	(41.277) 	(2.0632) 	(3.0760) 	(-1.1437) 	(0.6519) 	(1.1040) 	(1.6083) 	(-0.4123)
lMCO_HC_2019_CHU 	-0.0209 	0.2057 	0.1038 	0.0220 	-0.0357 	0.0246 	-0.0061 	-0.0031 	-0.0011 	0.0077 	0.0015 	-0.0022 	-0.0264 	-0.0014 	-0.0008 	0.0189 	0.0057 	-0.0080 	-0.0011 	-0.0514 	0.0008 	0.0127 	0.1758 	0.9655 	0.0425 	-0.0279 	0.1487 	-0.0005 	0.0380
	(-2.5676) 	(2.5268) 	(2.7216) 	(0.6435) 	(-2.0353) 	(0.6464) 	(-0.3538) 	(-0.5267) 	(-0.1765) 	(1.2163) 	(0.4523) 	(-0.4688) 	(-2.7937) 	(-0.4848) 	(-0.1837) 	(1.1678) 	(0.5939) 	(-0.5409) 	(-0.5212) 	(-2.6777) 	(0.9884) 	(0.9662) 	(2.0634) 	(43.517) 	(0.6509) 	(-2.0343) 	(2.2070) 	(-0.0345) 	(2.2095)
lMCO_HP_2019_CHU 	-0.0018 	-0.1728 	-0.0659 	0.0041 	0.0028 	0.0003 	-0.0081 	-0.0017 	0.0011 	-0.0031 	-0.0009 	0.0047 	-0.0014 	0.0010 	-0.0015 	-0.0056 	-0.0030 	-0.0021 	0.0018 	-0.0041 	-0.0002 	0.0063 	0.7701 	-0.0401 	0.0050 	-0.0039 	0.0270 	-0.0116 	-0.0212
	(-0.1419) 	(-1.9631) 	(-1.9434) 	(0.1451) 	(0.1536) 	(0.0081) 	(-0.4402) 	(-0.3297) 	(0.2639) 	(-0.8962) 	(-0.3496) 	(0.9497) 	(-0.1860) 	(0.4774) 	(-0.3566) 	(-0.6002) 	(-0.7954) 	(-0.1804) 	(0.7873) 	(-0.2610) 	(-0.3529) 	(0.6612) 	(8.3914) 	(-1.7412) 	(0.0965) 	(-0.3298) 	(0.5624) 	(-0.6484) 	(-1.4175)
lSSR_2019_CHU 	0.0297 	0.0123 	0.0016 	0.0272 	-0.0193 	0.0358 	-0.0021 	0.0088 	0.0015 	0.0017 	0.0016 	0.0027 	0.0035 	6.538e-07 	0.0085 	0.0057 	0.0011 	0.0136 	0.0009 	0.0053 	-0.0004 	-0.0124 	-0.0119 	-0.0091 	0.9118 	-0.0189 	0.0181 	0.0064 	0.0006
	(2.2205) 	(0.3118) 	(0.0873) 	(1.6294) 	(-1.2395) 	(1.4755) 	(-0.2458) 	(1.4651) 	(0.6972) 	(1.1060) 	(0.7511) 	(0.5749) 	(0.6170) 	(0.0004) 	(1.5125) 	(1.5951) 	(0.5950) 	(1.9769) 	(0.4610) 	(0.4153) 	(-0.7630) 	(-0.7690) 	(-0.2905) 	(-0.4945) 	(42.833) 	(-1.0070) 	(0.5181) 	(0.4881) 	(0.0904)
lPSY_2019_CHU 	0.0100 	0.0407 	0.0042 	-0.0120 	-0.0553 	0.0018 	-0.0059 	0.0046 	0.0002 	0.0002 	-0.0005 	-0.0087 	0.0004 	0.0010 	0.0041 	-0.0005 	-0.0003 	0.0012 	-0.0036 	-0.0077 	0.0003 	-0.0082 	0.0577 	0.0066 	-0.0305 	0.9285 	0.0199 	-0.0137 	0.0018
	(1.2509) 	(1.6571) 	(0.1371) 	(-0.8507) 	(-3.5617) 	(0.0783) 	(-0.8333) 	(1.3914) 	(0.1186) 	(0.2045) 	(-0.3350) 	(-1.5168) 	(0.0740) 	(0.7246) 	(1.3769) 	(-0.1614) 	(-0.3412) 	(0.1853) 	(-1.1026) 	(-0.7863) 	(0.7075) 	(-0.8550) 	(2.0664) 	(0.1999) 	(-1.1002) 	(52.455) 	(0.9881) 	(-1.1508) 	(0.1547)
lSEANCES_2019_CHU 	-0.0563 	-0.0929 	-0.0018 	-0.0313 	0.0300 	0.0289 	0.0025 	-0.0095 	0.0005 	-0.0004 	0.0005 	-0.0064 	0.0189 	0.0001 	-0.0100 	-0.0041 	0.0013 	-0.0029 	-0.0021 	0.0450 	0.0002 	0.0204 	-0.0599 	0.0075 	-0.0233 	0.0356 	0.8499 	-0.0151 	-0.0071
	(-2.5446) 	(-2.9475) 	(-0.1054) 	(-2.1350) 	(1.5981) 	(0.8622) 	(0.2304) 	(-1.1600) 	(0.2357) 	(-0.2722) 	(0.2499) 	(-0.9811) 	(1.9498) 	(0.0819) 	(-1.3110) 	(-0.9957) 	(0.8257) 	(-0.5271) 	(-0.7511) 	(2.1507) 	(0.3620) 	(1.2867) 	(-2.1797) 	(0.7682) 	(-1.3032) 	(1.2524) 	(15.261) 	(-0.8593) 	(-1.0695)
lUSLD_2019_CHU 	-0.0127 	-0.0847 	-0.0453 	0.0138 	0.0414 	0.0084 	0.0224 	-0.0076 	0.0139 	1.109e-05 	-0.0006 	-0.0080 	0.0133 	0.0135 	-0.0082 	0.0010 	2.255e-05 	-0.0085 	-0.0033 	0.0196 	0.0031 	-0.0041 	-0.0779 	-0.0568 	0.0054 	0.0354 	-0.0599 	0.8900 	-0.0181
	(-0.5988) 	(-1.0155) 	(-0.8130) 	(0.3544) 	(1.6379) 	(0.2148) 	(0.7813) 	(-1.1146) 	(1.6543) 	(0.0043) 	(-0.1919) 	(-1.1346) 	(1.1819) 	(1.9276) 	(-1.3600) 	(0.1177) 	(0.0079) 	(-0.6843) 	(-0.9383) 	(0.8097) 	(1.0372) 	(-0.4298) 	(-0.9236) 	(-1.0731) 	(0.1087) 	(1.1840) 	(-1.1821) 	(27.777) 	(-0.7176)
lduree_MCO_2019 	-0.0694 	-0.5852 	-0.3897 	0.0143 	0.0055 	-0.0800 	-0.0112 	0.0150 	-0.1181 	-0.0589 	-0.0184 	0.0045 	-0.0228 	-0.0323 	0.0034 	-0.2076 	-0.0339 	-0.0065 	0.0069 	0.0057 	0.0041 	-0.0074 	-0.0746 	-0.0243 	0.0228 	0.0009 	-0.0123 	-0.0094 	0.7723
	(-4.0854) 	(-4.8916) 	(-4.6531) 	(0.3351) 	(0.2723) 	(-2.0609) 	(-0.6058) 	(0.6393) 	(-2.0499) 	(-1.4435) 	(-2.1549) 	(0.6942) 	(-0.9951) 	(-1.6214) 	(0.2560) 	(-2.9434) 	(-1.2179) 	(-0.2190) 	(1.1093) 	(0.1566) 	(1.1907) 	(-0.8165) 	(-2.0468) 	(-0.9167) 	(0.8525) 	(0.1007) 	(-0.4803) 	(-0.8502) 	(17.841)


T-stats reported in parentheses
T-stats use same covariance type as original model
id: 0x7fee02f1a850
