 First Stage Estimation Results 	lURG 	lMCO_HP 	lMCO_HC 	lSSR 	lPSY 	lSEANCES 	lUSLD 	lURG_PNL 	lMCO_HP_PNL 	lMCO_HC_PNL 	lSSR_PNL 	lPSY_PNL 	lSEANCES_PNL 	lUSLD_PNL 	lURG_PL 	lMCO_HP_PL 	lMCO_HC_PL 	lSSR_PL 	lPSY_PL 	lSEANCES_PL 	lUSLD_PL 	lURG_CHU 	lMCO_HP_CHU 	lMCO_HC_CHU 	lSSR_CHU 	lPSY_CHU 	lSEANCES_CHU 	lUSLD_CHU 	lduree_MCO
	(-1.7499) 	(-0.1517) 	(0.0302) 	(0.7728) 	(1.2914) 	(-1.7540) 	(1.0100) 	(-1.5160) 	(-1.6595) 	(-1.3049) 	(0.7592) 	(0.1507) 	(1.3940) 	(-1.0823) 	(-1.4808) 	(-1.8636) 	(-0.6669) 	(1.4641) 	(0.2661) 	(1.5956) 	(-0.8301) 	(0.3169) 	(0.9278) 	(1.2434) 	(-0.0280) 	(1.2956) 	(-1.9114) 	(1.5133) 	(-0.6100)
I_PSY 	0.1028 	-0.1408 	-0.1944 	-0.1907 	4.2964 	-0.0547 	0.0251 	0.0373 	-0.0277 	-0.0536 	-0.0138 	1.1843 	-0.3136 	-0.0014 	0.0182 	-0.0032 	0.0073 	-0.0488 	0.4823 	0.1066 	-0.0007 	0.0056 	-0.0346 	-0.0582 	0.2133 	0.7331 	-0.0061 	0.0186 	-0.0093
	(1.5713) 	(-1.2191) 	(-2.1822) 	(-1.6708) 	(7.2352) 	(-0.2468) 	(0.5589) 	(1.2940) 	(-0.8385) 	(-0.9637) 	(-0.4820) 	(2.2630) 	(-0.9604) 	(-0.1146) 	(0.8934) 	(-0.1334) 	(0.4981) 	(-0.6083) 	(1.3056) 	(0.9837) 	(-0.3048) 	(0.4687) 	(-0.4669) 	(-0.8965) 	(1.4361) 	(1.9539) 	(-0.0955) 	(0.9133) 	(-0.2810)
I_SSR 	0.0668 	-0.1072 	0.0651 	4.0525 	-0.1637 	0.0799 	-0.0457 	-0.0815 	-0.0675 	-0.0057 	0.2300 	-0.0009 	0.0498 	-0.0068 	0.0372 	-0.0339 	-0.0353 	1.1405 	-0.0096 	0.1736 	-0.0101 	0.0042 	0.0054 	-0.0076 	0.5298 	0.0834 	0.0105 	-0.0315 	0.0465
	(1.1478) 	(-0.5780) 	(0.2936) 	(18.690) 	(-1.2646) 	(0.7278) 	(-1.0233) 	(-0.8953) 	(-1.4110) 	(-0.5022) 	(1.7509) 	(-0.0248) 	(1.3643) 	(-0.5541) 	(1.0980) 	(-0.2127) 	(-0.2178) 	(3.7903) 	(-0.6076) 	(1.2143) 	(-1.0955) 	(0.3117) 	(0.0531) 	(-0.3387) 	(2.6651) 	(1.0831) 	(0.3091) 	(-1.4053) 	(0.6713)
I_URG 	8.5427 	0.1772 	-0.1045 	-0.3218 	-0.0755 	-0.5456 	-0.0444 	2.2208 	-0.0643 	-0.0241 	-0.3586 	0.0298 	0.2379 	0.0304 	1.8184 	-0.0488 	-0.0064 	0.0553 	0.0121 	-0.5263 	-0.0020 	0.7263 	0.0820 	-0.0044 	0.0591 	-0.0176 	-0.0809 	0.0135 	-0.1544
	(27.015) 	(0.5171) 	(-1.1720) 	(-2.3332) 	(-1.2941) 	(-1.9164) 	(-0.8935) 	(2.4465) 	(-0.9048) 	(-0.8869) 	(-1.1247) 	(1.2641) 	(0.8730) 	(0.8431) 	(1.9839) 	(-0.7007) 	(-0.1955) 	(0.8130) 	(1.0280) 	(-3.1271) 	(-0.6530) 	(1.0366) 	(1.2376) 	(-0.2209) 	(1.3829) 	(-0.5465) 	(-1.1794) 	(0.3808) 	(-3.6604)
I_USLD 	-0.0552 	0.0290 	0.1290 	-0.1087 	0.0994 	-0.0018 	2.0986 	-0.0040 	0.1636 	-0.0115 	-0.0163 	-0.0047 	0.0036 	0.2692 	-0.0272 	-0.0535 	0.0025 	-0.0931 	-0.0010 	-0.0548 	0.0810 	0.0047 	-0.0016 	0.0145 	-0.0476 	0.0398 	-0.0307 	0.4210 	0.0517
	(-0.9629) 	(0.1618) 	(0.8608) 	(-1.0855) 	(1.6093) 	(-0.0182) 	(14.529) 	(-0.1661) 	(1.1365) 	(-0.8540) 	(-0.9534) 	(-0.2444) 	(0.0923) 	(2.2114) 	(-1.3247) 	(-1.5692) 	(0.1864) 	(-1.8449) 	(-0.1310) 	(-0.7695) 	(1.1192) 	(0.3820) 	(-0.0260) 	(0.4627) 	(-1.2752) 	(1.3782) 	(-0.6377) 	(2.8843) 	(1.1172)
I_SEANCES 	-0.0142 	0.1954 	0.2069 	-0.0268 	-0.0408 	5.1211 	-0.0465 	0.0594 	0.0121 	0.0241 	-0.0110 	-0.0469 	0.9422 	-0.0156 	-0.0447 	-0.0565 	0.1092 	0.0430 	0.0019 	2.2191 	-0.0014 	-0.0091 	0.1078 	0.0271 	-0.0135 	0.0394 	0.4501 	-0.0111 	0.0141
	(-0.3081) 	(1.0951) 	(4.4265) 	(-0.4547) 	(-0.9672) 	(19.912) 	(-2.0470) 	(1.2562) 	(0.2946) 	(1.4330) 	(-0.8355) 	(-0.9034) 	(4.8572) 	(-1.1463) 	(-1.0741) 	(-0.4155) 	(2.8155) 	(0.5602) 	(0.1673) 	(7.2606) 	(-0.8089) 	(-0.4956) 	(1.1769) 	(1.5394) 	(-0.6157) 	(1.3359) 	(3.1800) 	(-0.7472) 	(0.6243)
I_MCO 	-0.1509 	1.7710 	1.6400 	-0.0843 	0.0152 	-0.2363 	-0.0131 	-0.0545 	0.1834 	0.2049 	0.0547 	0.0064 	-0.0727 	0.0433 	-0.0311 	0.5750 	0.1635 	-0.0513 	-0.0027 	-0.0762 	0.0080 	-0.0047 	0.2369 	0.1169 	0.0533 	0.0286 	-0.0314 	0.0228 	0.8470
	(-5.7274) 	(5.6697) 	(4.8698) 	(-0.8877) 	(0.3741) 	(-3.2279) 	(-0.2702) 	(-1.6479) 	(2.2579) 	(1.4919) 	(2.1288) 	(0.4846) 	(-1.2936) 	(1.9200) 	(-1.4094) 	(2.5553) 	(1.0590) 	(-0.4741) 	(-0.3903) 	(-1.4128) 	(1.0394) 	(-0.5437) 	(2.0949) 	(1.0832) 	(0.7626) 	(1.2676) 	(-0.4590) 	(1.0996) 	(5.2105)
lURG_2019 	0.0961 	-0.0168 	0.0557 	0.0333 	0.0021 	0.0143 	0.0035 	-0.2200 	-0.0025 	0.0013 	0.0355 	-0.0048 	-0.0386 	-0.0062 	-0.1793 	-0.0018 	-0.0002 	-0.0057 	-0.0018 	0.0235 	0.0006 	-0.0726 	-0.0112 	0.0006 	-0.0013 	0.0001 	0.0004 	-0.0033 	0.0103
	(2.9585) 	(-0.4182) 	(2.5640) 	(2.0428) 	(0.3586) 	(0.4902) 	(0.6127) 	(-2.3930) 	(-0.3103) 	(0.4679) 	(1.1179) 	(-1.6928) 	(-1.4307) 	(-1.4574) 	(-1.9543) 	(-0.2529) 	(-0.0363) 	(-0.7768) 	(-1.1699) 	(1.4064) 	(1.0649) 	(-1.0339) 	(-1.5193) 	(0.3213) 	(-0.2817) 	(0.0438) 	(0.0757) 	(-0.9708) 	(1.5634)
lMCO_HC_2019 	0.0505 	-0.0008 	0.8418 	-0.0209 	-0.0072 	0.0704 	0.0048 	-0.0019 	0.0225 	-0.0061 	-0.0015 	-0.0032 	0.0190 	0.0071 	-0.0006 	0.0008 	-0.0102 	0.0018 	-0.0026 	0.0072 	-0.0028 	0.0023 	-0.0047 	-0.0073 	-0.0216 	-0.0054 	0.0096 	0.0009 	-0.0310
	(6.1742) 	(-0.0162) 	(25.105) 	(-1.0404) 	(-1.0317) 	(4.1008) 	(0.6773) 	(-0.1834) 	(1.2233) 	(-0.8987) 	(-0.5215) 	(-0.9222) 	(2.0112) 	(0.9929) 	(-0.0937) 	(0.0277) 	(-0.6232) 	(0.1685) 	(-1.2134) 	(0.5195) 	(-1.2044) 	(0.6281) 	(-0.4068) 	(-1.1325) 	(-2.3770) 	(-1.3240) 	(1.1072) 	(0.2862) 	(-2.1684)
lMCO_HP_2019 	0.0067 	0.8740 	-0.0307 	0.0206 	0.0020 	-0.0170 	0.0094 	0.0023 	-0.0104 	-0.0051 	-0.0004 	-0.0014 	-0.0070 	-0.0017 	0.0023 	-0.0179 	-0.0036 	0.0060 	-0.0003 	-0.0130 	0.0007 	4.356e-05 	-0.0068 	-0.0020 	0.0053 	-0.0007 	-0.0041 	0.0008 	-0.0242
	(1.1506) 	(37.354) 	(-2.4556) 	(1.9603) 	(0.4156) 	(-1.8955) 	(1.7525) 	(0.5228) 	(-1.9100) 	(-1.3830) 	(-0.3326) 	(-0.8290) 	(-1.8509) 	(-1.0108) 	(0.6268) 	(-2.4210) 	(-1.2372) 	(1.3235) 	(-0.3859) 	(-1.6927) 	(1.1451) 	(0.0310) 	(-1.9735) 	(-0.9181) 	(1.4799) 	(-0.5643) 	(-1.3295) 	(0.4667) 	(-3.7739)
lSSR_2019 	-0.0100 	0.0072 	-0.0094 	0.2928 	0.0228 	0.0010 	0.0083 	0.0140 	0.0109 	0.0009 	-0.0360 	-0.0020 	-0.0032 	0.0010 	-0.0050 	0.0049 	0.0056 	-0.1767 	0.0006 	-0.0191 	0.0014 	-0.0002 	-0.0005 	0.0011 	-0.0831 	-0.0142 	0.0003 	0.0045 	-0.0050
	(-0.9655) 	(0.2441) 	(-0.2447) 	(8.1611) 	(1.0342) 	(0.0538) 	(1.0556) 	(0.9751) 	(1.4404) 	(0.4562) 	(-1.7533) 	(-0.3274) 	(-0.5289) 	(0.5135) 	(-0.9639) 	(0.2014) 	(0.2238) 	(-3.7457) 	(0.2572) 	(-0.8575) 	(1.0759) 	(-0.1185) 	(-0.0331) 	(0.3236) 	(-2.6562) 	(-1.1614) 	(0.0471) 	(1.2800) 	(-0.4085)
lPSY_2019 	-0.0040 	0.0318 	0.0241 	0.0214 	0.4972 	0.0146 	-0.0038 	-0.0021 	0.0027 	0.0056 	0.0019 	-0.1266 	0.0347 	0.0002 	-0.0001 	-2.022e-07 	-0.0009 	0.0093 	-0.0516 	-0.0097 	5.32e-05 	0.0001 	0.0038 	0.0062 	-0.0210 	-0.0780 	0.0010 	-0.0020 	0.0027
	(-0.5487) 	(2.1231) 	(2.1949) 	(1.6960) 	(7.6079) 	(0.6127) 	(-0.6812) 	(-0.7724) 	(0.7694) 	(0.9451) 	(0.6133) 	(-2.2570) 	(0.9922) 	(0.1751) 	(-0.0514) 	(-6.537e-05) 	(-0.4220) 	(1.0315) 	(-1.3048) 	(-0.8321) 	(0.1925) 	(0.0737) 	(0.4739) 	(0.8880) 	(-1.3385) 	(-1.9463) 	(0.1406) 	(-0.8818) 	(0.6322)
lSEANCES_2019 	0.0836 	0.0261 	0.0074 	0.0160 	-0.0011 	0.4151 	-0.0024 	0.0064 	-0.0016 	-0.0002 	0.0004 	0.0066 	-0.0913 	0.0023 	0.0145 	0.0099 	-0.0082 	-0.0008 	0.0007 	-0.2159 	0.0007 	0.0048 	-0.0073 	-0.0010 	0.0060 	-0.0017 	-0.0447 	0.0026 	0.0108
	(9.1564) 	(1.2044) 	(0.5978) 	(1.6750) 	(-0.1165) 	(13.141) 	(-0.5280) 	(0.8225) 	(-0.3285) 	(-0.0985) 	(0.1514) 	(1.2057) 	(-4.6878) 	(1.2131) 	(1.5864) 	(0.7230) 	(-2.1340) 	(-0.1059) 	(0.5984) 	(-6.6808) 	(1.1084) 	(0.8834) 	(-0.8239) 	(-0.4879) 	(1.7655) 	(-0.6576) 	(-3.1384) 	(1.2327) 	(2.3592)
lUSLD_2019 	0.0083 	0.0161 	-0.0387 	0.0383 	-0.0434 	-0.0063 	0.3545 	0.0022 	-0.0453 	0.0042 	0.0064 	0.0036 	-0.0003 	-0.0752 	0.0093 	0.0178 	-2.256e-05 	0.0352 	0.0011 	0.0185 	-0.0228 	-0.0006 	0.0019 	-0.0036 	0.0183 	-0.0089 	0.0090 	-0.1181 	-0.0112
	(0.4781) 	(0.3086) 	(-0.8580) 	(1.2554) 	(-1.9218) 	(-0.2169) 	(8.3434) 	(0.3009) 	(-1.1243) 	(1.0268) 	(1.1269) 	(0.4846) 	(-0.0235) 	(-2.2005) 	(1.4369) 	(1.7489) 	(-0.0050) 	(2.1524) 	(0.3623) 	(0.8899) 	(-1.1187) 	(-0.1772) 	(0.1075) 	(-0.4034) 	(1.5782) 	(-0.9866) 	(0.6588) 	(-2.8715) 	(-0.8370)
lURG_2019_PNL 	0.0540 	0.0279 	-0.0227 	-0.0256 	-0.0089 	-0.0238 	0.0063 	0.9378 	0.0323 	0.0180 	-0.0143 	-0.0050 	0.0319 	0.0169 	0.0182 	0.0066 	0.0005 	-0.0039 	0.0001 	-0.0129 	-0.0003 	0.0076 	0.0027 	0.0004 	-0.0029 	-0.0004 	-0.0015 	0.0003 	0.0018
	(4.5159) 	(1.0157) 	(-1.2612) 	(-1.5667) 	(-1.1383) 	(-1.0603) 	(0.8942) 	(36.389) 	(1.4299) 	(3.6554) 	(-1.2697) 	(-0.7741) 	(1.2114) 	(1.3723) 	(1.4818) 	(2.0925) 	(0.3984) 	(-1.0475) 	(0.1192) 	(-0.9823) 	(-0.6573) 	(0.9458) 	(1.3315) 	(0.5269) 	(-1.2430) 	(-0.2525) 	(-0.5502) 	(0.1868) 	(0.3179)
lMCO_HC_2019_PNL 	-0.0076 	0.1207 	0.0512 	0.0087 	-0.0008 	0.0065 	0.0101 	0.0062 	0.1362 	0.9668 	-0.0087 	-0.0009 	0.0645 	0.0080 	0.0026 	0.0004 	0.0002 	0.0040 	-1.026e-05 	-0.0252 	0.0003 	0.0005 	-0.0003 	0.0008 	0.0055 	0.0002 	-0.0064 	-0.0004 	0.0026
	(-1.7416) 	(2.3690) 	(2.6228) 	(0.6540) 	(-0.1597) 	(0.3724) 	(1.1470) 	(1.2261) 	(2.6986) 	(75.240) 	(-1.6379) 	(-0.5007) 	(2.5227) 	(0.5704) 	(0.8036) 	(0.0552) 	(0.0724) 	(0.9517) 	(-0.0147) 	(-2.2224) 	(0.7204) 	(0.3768) 	(-0.1165) 	(0.5561) 	(1.8308) 	(0.1203) 	(-1.9832) 	(-0.1940) 	(0.2506)
lMCO_HP_2019_PNL 	-0.0154 	-0.1119 	-0.0206 	-0.0067 	0.0075 	0.0462 	-0.0139 	-0.0183 	0.8385 	0.0036 	-0.0030 	0.0073 	0.0696 	-0.0133 	0.0027 	-0.0093 	-0.0025 	-0.0028 	0.0016 	-0.0013 	-5.975e-05 	0.0010 	-0.0039 	-0.0020 	-0.0015 	0.0015 	-6.752e-05 	-0.0001 	-0.0049
	(-1.9489) 	(-2.0285) 	(-0.9188) 	(-0.4515) 	(1.1269) 	(2.0476) 	(-1.3323) 	(-0.9855) 	(15.585) 	(0.3246) 	(-0.3395) 	(1.2544) 	(2.1679) 	(-0.7722) 	(0.4867) 	(-1.2782) 	(-0.8976) 	(-0.5726) 	(1.0079) 	(-0.0889) 	(-0.1259) 	(0.4004) 	(-1.1747) 	(-0.8615) 	(-0.5382) 	(0.8037) 	(-0.0210) 	(-0.0507) 	(-0.4157)
lSSR_2019_PNL 	0.0040 	0.0076 	-0.0080 	0.0501 	-0.0044 	0.0021 	0.0040 	0.0150 	0.0020 	-0.0030 	0.9575 	0.0003 	0.0331 	0.0046 	-0.0045 	0.0003 	-0.0014 	0.0039 	-4.247e-05 	-0.0194 	1.596e-05 	-0.0019 	-0.0014 	-0.0004 	0.0018 	7.937e-05 	-0.0040 	0.0004 	-0.0017
	(0.9341) 	(0.6939) 	(-0.9880) 	(6.0482) 	(-0.5699) 	(0.1763) 	(0.8320) 	(2.3877) 	(0.2199) 	(-1.0174) 	(154.85) 	(0.0276) 	(2.1920) 	(1.3054) 	(-1.6361) 	(0.1489) 	(-1.2186) 	(1.3235) 	(-0.0455) 	(-2.9781) 	(0.0927) 	(-0.9964) 	(-1.1830) 	(-1.0900) 	(1.1689) 	(0.0550) 	(-2.2617) 	(0.3849) 	(-0.4713)
